"word","conc","word_len"
"RUMOUR",311,6
"RUSH",350,4
"SAFETY",323,6
"SAGACITY",211,8
"SALVATION",269,9
"SANCTITY",293,8
"SATIRE",287,6
"SAVANT",293,6
"SAVE",314,4
"SCHEME",328,6
"SCORN",290,5
"SECOND",344,6
"SECURITY",290,8
"SELECTION",328,9
"SELL",342,4
"SENSATION",265,9
"SENSE",316,5
"SENTIMENT",258,9
"SEPARATION",303,10
"SEVERANCE",311,9
"SHALLOW",330,7
"SHAME",287,5
"SIMPER",335,6
"SIN",273,3
"SINE",319,4
"SITUATION",311,9
"SKILL",346,5
"SLOE",300,4
"SMART",304,5
"SNUB",280,4
"SOBRIETY",325,8
"SOCIETY",335,7
"SOLEMNITY",289,9
"SORROW",282,6
"SOUL",289,4
"SOUTH",347,5
"SPIRIT",296,6
"SPITE",262,5
"SPREE",333,5
"STANDARD",324,8
"STAY",329,4
"STERN",349,5
"STOIC",305,5
"STOLE",342,5
"STOP",308,4
"STRAIN",338,6
"STRENGTH",339,8
"STYLE",344,5
"SUCCESS",295,7
"SUCCOUR",308,7
"SUFFERANCE",260,10
"SUFFIX",318,6
"SUFFRAGE",283,8
"SUGGESTION",333,10
"SURPRISE",326,8
"SUSPICION",265,9
"SWAGE",292,5
"SWIFT",338,5
"SYMBOLISM",273,9
"SYMPATHY",278,8
"TALENT",290,6
"TALLY",331,5
"TAPIS",312,5
"TEMPTATION",265,10
"TENDENCY",243,8
"TENURE",345,6
"TERROR",326,6
"THEME",336,5
"THEORY",287,6
"THING",350,5
"THOUGHT",274,7
"THREAT",335,6
"THRILL",320,6
"THROE",240,5
"TIDY",311,4
"TIME",343,4
"TORMENT",288,7
"TRADITION",291,9
"TRAGEDY",331,7
"TRANSFER",331,8
"TREATMENT",343,9
"TREND",328,5
"TRIBUTE",339,7
"TRIUMPH",332,7
"TROUBLE",310,7
"TRUCE",335,5
"TRUISM",276,6
"TRUST",300,5
"TRUTH",261,5
"TRY",260,3
"TUN",211,3
"TUSH",287,4
"TYRANNY",302,7
"UNANIMITY",250,9
"UNBELIEF",260,8
"UNCONCERN",252,9
"UNDER",319,5
"UNREALITY",203,9
"UNREST",324,6
"UPHEAVAL",320,8
"UPKEEP",299,6
"UPRIGHT",348,7
"UPSET",282,5
"USURY",300,5
"VALUE",260,5
"VANITY",250,6
"VARIETY",297,7
"VERB",337,4
"VERITY",270,6
"VETO",326,4
"VIGILANCE",305,9
"VIRTUE",243,6
"VOLUNTARY",309,9
"VOW",329,3
"WAIT",317,4
"WANT",302,4
"WATT",350,4
"WAY",265,3
"WELCOME",350,7
"WELFARE",309,7
"WHILE",204,5
"WIDE",348,4
"WILL",275,4
"WISDOM",275,6
"WISE",268,4
"WISH",270,4
"WOE",252,3
"WRATH",304,5
"WRONG",303,5
"YORE",267,4
"YUCCA",316,5
"ZEAL",304,4
"ZERO",341,4
